RTM_Spread_Avg,HourInt,DeliveryDate,HourEnding_node,BusName_node,LMP_node,DSTFlag_node,HourEnding_hub,BusName_hub,LMP_hub,DSTFlag_hub,DAM_Spread,Alpha_PnL,Net_PnL,Node,DAM_Bus,DAM_Hub,Date
-0.10461538461538457,13,2026-01-25,13:00,BRAZ_WND_ALL,464.91,False,13:00,NORTH,469.19,False,4.279999999999973,-4.3846153846153575,-5.3846153846153575,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
1.1726666666666696,14,2026-01-25,14:00,BRAZ_WND_ALL,478.41,False,14:00,NORTH,484.27,False,5.859999999999957,-4.687333333333287,-5.687333333333287,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-0.4792307692307706,15,2026-01-25,15:00,BRAZ_WND_ALL,439.09,False,15:00,NORTH,445.16,False,6.07000000000005,-6.549230769230821,-7.549230769230821,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-0.6930769230769224,16,2026-01-25,16:00,BRAZ_WND_ALL,340.32,False,16:00,NORTH,344.31,False,3.990000000000009,-4.683076923076931,-5.683076923076931,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-1.4971428571428558,17,2026-01-25,17:00,BRAZ_WND_ALL,378.69,False,17:00,NORTH,382.55,False,3.8600000000000136,-5.357142857142869,-6.357142857142869,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-3.1184615384615335,18,2026-01-25,18:00,BRAZ_WND_ALL,689.21,False,18:00,NORTH,699.61,False,10.399999999999977,-13.51846153846151,-14.51846153846151,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-15.23769230769231,19,2026-01-25,19:00,BRAZ_WND_ALL,1258.97,False,19:00,NORTH,1325.44,False,66.47000000000003,-81.70769230769234,-82.70769230769234,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
39.9358333333333,20,2026-01-25,20:00,BRAZ_WND_ALL,1304.73,False,20:00,NORTH,1370.39,False,65.66000000000008,-25.724166666666783,-26.724166666666783,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-10.766874999999999,21,2026-01-25,21:00,BRAZ_WND_ALL,1455.98,False,21:00,NORTH,1524.86,False,68.87999999999988,-79.64687499999988,-80.64687499999988,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-36.461666666666694,22,2026-01-25,22:00,BRAZ_WND_ALL,1319.59,False,22:00,NORTH,1392.52,False,72.93000000000006,-109.39166666666677,-110.39166666666677,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-61.841666666666676,23,2026-01-25,23:00,BRAZ_WND_ALL,1668.19,False,23:00,NORTH,1753.28,False,85.08999999999992,-146.9316666666666,-147.9316666666666,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
